1734411814.995035 client started (31375): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1734411814.995076 on Linux 6.9.3-76060903-generic #202405300957~1732141768~22.04~f2697e1 SMP PREEMPT_DYNAMIC Wed N
1734411814.995083 using libevent 2.1.12-stable (poll); ncurses 6.3
1734411814.995109 flags are 0x10010000
1734411814.995113 socket is /tmp/tmux-1000/default
1734411814.995132 trying connect
1734411814.995214 add peer 0x5e553a568670: 6 ((nil))
1734411814.995653 sending message 100 to peer 0x5e553a568670 (4 bytes)
1734411814.995659 sending message 111 to peer 0x5e553a568670 (8 bytes)
1734411814.995662 sending message 101 to peer 0x5e553a568670 (12 bytes)
1734411814.995665 sending message 109 to peer 0x5e553a568670 (4 bytes)
1734411814.995668 sending message 102 to peer 0x5e553a568670 (11 bytes)
1734411814.995671 sending message 108 to peer 0x5e553a568670 (53 bytes)
1734411814.995674 sending message 112 to peer 0x5e553a568670 (70 bytes)
1734411814.995677 sending message 112 to peer 0x5e553a568670 (5 bytes)
1734411814.995680 sending message 112 to peer 0x5e553a568670 (6 bytes)
1734411814.995683 sending message 112 to peer 0x5e553a568670 (6 bytes)
1734411814.995685 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.995688 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995690 sending message 112 to peer 0x5e553a568670 (14 bytes)
1734411814.995693 sending message 112 to peer 0x5e553a568670 (19 bytes)
1734411814.995696 sending message 112 to peer 0x5e553a568670 (11 bytes)
1734411814.995698 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.995701 sending message 112 to peer 0x5e553a568670 (15 bytes)
1734411814.995704 sending message 112 to peer 0x5e553a568670 (21 bytes)
1734411814.995706 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995709 sending message 112 to peer 0x5e553a568670 (7 bytes)
1734411814.995712 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995714 sending message 112 to peer 0x5e553a568670 (7 bytes)
1734411814.995717 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995720 sending message 112 to peer 0x5e553a568670 (9 bytes)
1734411814.995722 sending message 112 to peer 0x5e553a568670 (21 bytes)
1734411814.995725 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995728 sending message 112 to peer 0x5e553a568670 (9 bytes)
1734411814.995731 sending message 112 to peer 0x5e553a568670 (16 bytes)
1734411814.995734 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995737 sending message 112 to peer 0x5e553a568670 (9 bytes)
1734411814.995739 sending message 112 to peer 0x5e553a568670 (9 bytes)
1734411814.995742 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995745 sending message 112 to peer 0x5e553a568670 (8 bytes)
1734411814.995747 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995750 sending message 112 to peer 0x5e553a568670 (7 bytes)
1734411814.995753 sending message 112 to peer 0x5e553a568670 (7 bytes)
1734411814.995756 sending message 112 to peer 0x5e553a568670 (9 bytes)
1734411814.995759 sending message 112 to peer 0x5e553a568670 (6 bytes)
1734411814.995761 sending message 112 to peer 0x5e553a568670 (9 bytes)
1734411814.995764 sending message 112 to peer 0x5e553a568670 (15 bytes)
1734411814.995767 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995770 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995773 sending message 112 to peer 0x5e553a568670 (8 bytes)
1734411814.995775 sending message 112 to peer 0x5e553a568670 (14 bytes)
1734411814.995778 sending message 112 to peer 0x5e553a568670 (9 bytes)
1734411814.995781 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.995784 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.995787 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.995790 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.995794 sending message 112 to peer 0x5e553a568670 (11 bytes)
1734411814.995796 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995809 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995812 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995814 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995817 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995820 sending message 112 to peer 0x5e553a568670 (11 bytes)
1734411814.995823 sending message 112 to peer 0x5e553a568670 (11 bytes)
1734411814.995825 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995828 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995831 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995834 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995836 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995839 sending message 112 to peer 0x5e553a568670 (9 bytes)
1734411814.995842 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.995845 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995847 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995850 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995853 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995856 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.995858 sending message 112 to peer 0x5e553a568670 (8 bytes)
1734411814.995861 sending message 112 to peer 0x5e553a568670 (11 bytes)
1734411814.995864 sending message 112 to peer 0x5e553a568670 (11 bytes)
